b"{'ENE', 1738482438.231, -398795, -399442, -400241, -400814, -400303, -398547, -399922, -399967, -398354, -399966, -399673, -399118, -399460, -399859, -399470, -397806, -398170, -397641, -399682, -399730, -399437, -400032, -399235, -400527, -399745}"
b"{'EHZ', 1738482438.481, 16356, 16294, 16253, 16286, 16248, 16219, 16202, 16203, 16232, 16188, 16181, 16256, 16257, 16202, 16229, 16253, 16285, 16273, 16214, 16256, 16262, 16220, 16245, 16276, 16242}"
b"{'ENN', 1738482438.481, -272469, -271713, -272719, -271690, -273355, -271860, -269460, -273810, -270352, -268934, -272885, -270953, -269493, -271155, -271403, -271714, -271121, -271518, -271658, -268878, -268933, -271019, -269504, -269268, -271034}"
b"{'ENZ', 1738482438.481, 3603122, 3603887, 3603587, 3603964, 3603857, 3604433, 3603372, 3602940, 3605397, 3604406, 3603781, 3605346, 3605414, 3604292, 3604506, 3604416, 3604155, 3603168, 3603515, 3604928, 3604398, 3604968, 3605386, 3603592, 3602997}"
b"{'ENE', 1738482438.481, -401417, -401332, -400369, -400482, -400623, -400360, -400118, -401860, -397841, -398206, -402743, -400058, -400123, -402294, -400686, -400970, -399324, -396911, -399363, -399805, -399135, -399838, -398116, -399839, -401144}"
b"{'EHZ', 1738482438.731, 16229, 16191, 16213, 16307, 16282, 16253, 16311, 16344, 16304, 16264, 16250, 16266, 16234, 16205, 16257, 16302, 16285, 16238, 16254, 16255, 16218, 16213, 16253, 16269, 16264}"
b"{'ENN', 1738482438.731, -269206, -270957, -271086, -269840, -271354, -271600, -272864, -270215, -270781, -274193, -271650, -272374, -272879, -270308, -271088, -270012, -270043, -271897, -270296, -271041, -270066, -271030, -273908, -272047, -272607}"
b"{'ENZ', 1738482438.731, 3604303, 3603498, 3604130, 3604735, 3604845, 3604522, 3603740, 3605971, 3604935, 3603054, 3604516, 3604613, 3603689, 3603926, 3603816, 3603635, 3603193, 3602578, 3603347, 3603637, 3603128, 3603921, 3604311, 3604287, 3604003}"
b"{'ENE', 1738482438.731, -398069, -400651, -399706, -398440, -400653, -400103, -399824, -397809, -399017, -401246, -401319, -399330, -399884, -399393, -397918, -400922, -400118, -400240, -399231, -398900, -399956, -399852, -401753, -399855, -402214}"
b"{'EHZ', 1738482438.981, 16204, 16228, 16318, 16250, 16157, 16269, 16363, 16191, 16205, 16312, 16302, 16221, 16230, 16255, 16280, 16226, 16132, 16282, 16238, 16295, 16260, 16234, 16332, 16227, 16191}"
b"{'ENN', 1738482438.981, -271874, -270889, -272203, -271200, -271279, -271891, -270549, -272106, -271653, -270171, -270605, -271039, -273730, -273389, -270146, -270179, -271015, -272564, -271910, -268287, -271838, -273695, -272313, -271745, -271408}"
b"{'ENZ', 1738482438.981, 3603768, 3604350, 3604541, 3604513, 3603792, 3604110, 3605059, 3603500, 3602734, 3603879, 3604421, 3604202, 3603690, 3604645, 3605118, 3604870, 3604024, 3604125, 3605447, 3604744, 3603885, 3603955, 3604084, 3603105, 3604089}"
b"{'ENE', 1738482438.981, -401811, -398346, -400716, -401195, -402141, -399930, -399683, -401338, -399452, -399828, -398814, -400217, -403146, -401925, -400242, -398965, -399517, -400406, -399210, -399049, -400579, -401221, -400361, -400044, -398493}"
b"{'EHZ', 1738482439.231, 16179, 16179, 16229, 16245, 16273, 16287, 16247, 16231, 16213, 16315, 16303, 16254, 16236, 16311, 16346, 16292, 16222, 16181, 16195, 16115, 16232, 16292, 16271, 16231, 16223}"
b"{'ENN', 1738482439.231, -269904, -268439, -271483, -270251, -269960, -272027, -272209, -269999, -268263, -272101, -272085, -270567, -271761, -269532, -271177, -270390, -268990, -271845, -270152, -271228, -271677, -269298, -269617, -271754, -272540}"
b"{'ENZ', 1738482439.231, 3605389, 3605367, 3604977, 3604419, 3604519, 3603554, 3604671, 3605401, 3604709, 3604452, 3603922, 3605704, 3605090, 3604018, 3604473, 3604707, 3605423, 3604763, 3605259, 3604855, 3602670, 3603283, 3604661, 3603305, 3603712}"
b"{'ENE', 1738482439.231, -396262, -398298, -401361, -399365, -397197, -399159, -399632, -397206, -397190, -399902, -400208, -399938, -397607, -396034, -398313, -396394, -396712, -398557, -398294, -400140, -399791, -398294, -399415, -399312, -398543}"
